matlab_name,plenoptic_name,vacher_statistic,max_absolute_difference,max_relative_difference
pixelStats,pixel_statistics,i.c,9.777068044058979e-12,1.2580855802046656e-14
pixelStatsPCA,skew_transformed,ix,3.774758283725532e-15,1.3427242450117093e-14
pixelStatsPCA,kurtosis_transformed,ix,5.10702591327572e-14,1.66926543536482e-14
autoCorrReal,auto_correlation_transformed,viii,2.220446049250313e-16,5.676668392667904e-16
cousinMagCorr,magnitude_std,iii-v,1.485935587908216e-07,1.634780844587359e-08
cousinMagCorr,cross_orientation_correlation_magnitude,iv,1.6563487553744594e-08,2.4626218433461257e-06
parentMagCorr,cross_scale_correlation_magnitude,v,1.7080519221224222e-08,2.103891645632249e-05
cousinRealCorr,cross_orientation_correlation_real,x,1.561384649351183e-08,4.0290196821550337e-07
parentRealCorr,cross_scale_correlation_real,vi,6.939240696196558e-06,4.4188782164355356e-05
colorCorr,color_covariance,vii,0.0,0.0
cousinRealCorr,cross_correlation_lowpass,xi,6.35266117487987e-09,1.0283909327229319e-07
parentRealCorr,cross_correlation_coarsest_scale_lowpass,xii,3.860042875614145e-09,0.3917684073797682
varianceHPR,var_highpass_residual,i.b,1.237597802017376e-10,1.747076979568696e-09
pixelLPStats,skew_reconstructed,i.a,1.3778462926161694e-08,1.0607030114983915e-07
pixelLPStats,kurtosis_reconstructed,i.a,3.569051454377359e-08,1.3026926900740986e-08
autoCorrReal,std_reconstructed,ii,1.2936212243630507e-06,1.3025012589522027e-08
autoCorrReal,auto_correlation_reconstructed,ii,2.5508571609156316e-08,8.500309032052974e-06
autoCorrMag,auto_correlation_magnitude,iii,2.2717498215918397e-08,4.39304958076984e-06
