index,filename,coarse_to_fine,seed,search_func,init_reduced,LBFGS_max_iter,LBFGS_max_eval,LBFGS_history_size,learning_rate,synth_iter,loss,synth_duration
0,fig16b,False,1,strong_wolfe,False,5,,10,1.0,844,0.0017660945886746,671.8470709323883
0,fig16b,False,1,,False,40,40.0,3,1.0,362,0.0007336447597481,2902.083506345749
0,fig16b,False,0,,False,10,5.0,100,0.3,1016,0.0011737468885257,1252.072899103165
0,fig4a,False,1,strong_wolfe,False,10,,100,10.0,403,0.01562191080302,672.9021468162537
0,fig4a,False,1,strong_wolfe,False,10,10.0,100,3.0,207,0.0307420417666435,286.51329946517944
0,fig16b,False,1,strong_wolfe,False,10,5.0,3,0.3,1377,0.0049550761468708,855.0262560844421
0,fig16b,False,1,strong_wolfe,False,10,5.0,3,10.0,1309,0.0050013400614261,834.1126697063446
0,fig16b,False,0,strong_wolfe,False,5,5.0,1000,1.0,233,0.0241577699780464,386.7708139419556
0,fig4a,False,0,,False,10,10.0,3,0.3,918,0.0034033951815217,2065.874893426895
0,fig4a,False,1,strong_wolfe,False,5,2.0,200,10.0,1285,0.0212442018091678,1080.5329685211182
0,fig16b,False,1,strong_wolfe,False,40,20.0,300,3.0,524,0.0002654721902217,1534.4781241416931
0,fig4a,False,1,strong_wolfe,False,40,20.0,300,1.0,454,0.0003626431862358,1316.3344419002533
0,fig16b,False,0,strong_wolfe,False,20,10.0,3,0.3,1037,0.002696489682421,1220.0516772270205
0,fig4a,False,1,strong_wolfe,False,40,,200,3.0,107,0.0187815334647893,808.1392316818237
0,fig4a,False,0,strong_wolfe,False,10,5.0,3,0.3,1526,0.0050563784316182,993.7568922042848
0,fig4a,False,0,strong_wolfe,False,10,10.0,300,1.0,723,0.0005188497016206,1046.2760446071625
0,fig4a,False,0,,False,10,10.0,100,1.0,747,0.0005130678764544,1889.1520047187803
0,fig4a,False,1,strong_wolfe,False,40,20.0,1000,3.0,143,0.0286816079169511,684.1289172172546
0,fig16b,False,0,strong_wolfe,False,10,5.0,500,3.0,306,0.0210785139352083,490.9947566986084
0,fig16b,False,0,strong_wolfe,False,20,10.0,1000,0.3,132,0.0465674176812171,392.5310964584351
0,fig4a,False,1,strong_wolfe,False,5,5.0,500,3.0,586,0.0224721245467662,898.270571231842
0,fig4a,False,0,strong_wolfe,False,10,10.0,200,1.0,746,0.0005173297249712,2337.775082588196
0,fig4a,False,0,,False,5,5.0,10,0.3,1686,0.0015579964965581,1950.805730819702
0,fig4a,False,1,,False,5,,10,1.0,1080,0.0017913052579388,1215.53484749794
0,fig4a,False,1,strong_wolfe,False,5,,3,0.3,1324,0.0057685673236846,1034.946849822998
0,fig16b,False,0,strong_wolfe,False,40,,30,3.0,93,0.0123420562595129,336.78103041648865
0,fig4a,False,1,,False,20,10.0,300,1.0,868,0.0004776205169036,2353.4834315776825
0,fig16b,False,0,strong_wolfe,False,10,5.0,500,1.0,259,0.0211575645953416,492.3505861759186
0,fig4a,False,1,strong_wolfe,False,5,,3,10.0,177,0.0641731396317482,165.77683019638062
0,fig4a,False,0,strong_wolfe,False,10,5.0,300,10.0,225,0.0818336606025695,216.38870096206665
0,fig16b,False,0,strong_wolfe,False,40,20.0,30,10.0,99,0.0255503542721271,199.8415579795837
0,fig4a,False,1,strong_wolfe,False,40,20.0,10,1.0,83,0.0561525858938694,151.24184656143188
0,fig4a,False,1,strong_wolfe,False,40,40.0,200,1.0,267,0.00030787975993,3119.9748680591583
0,fig4a,False,1,strong_wolfe,False,10,,200,0.3,844,0.0007025384693406,2429.352079629898
0,fig4a,False,0,strong_wolfe,False,10,10.0,1000,0.3,841,0.0005779754719696,3380.153839111328
0,fig4a,False,1,strong_wolfe,False,40,40.0,500,1.0,258,0.0002872070181183,2943.691260099411
0,fig16b,False,1,strong_wolfe,False,40,40.0,30,10.0,73,0.0276644099503755,190.6773819923401
0,fig4a,False,0,strong_wolfe,False,10,,10,0.3,808,0.0011726701632142,1147.995267868042
0,fig16b,False,1,strong_wolfe,False,5,5.0,500,1.0,1204,0.0006468127248808,1804.8721725940704
