filename,coarse_to_fine,seed,search_func,init_reduced,LBFGS_max_iter,LBFGS_max_eval,LBFGS_history_size,learning_rate,synth_iter,loss,synth_duration
fig16b,False,1,strong_wolfe,False,5,,10,1.0,1020,0.0006092882249504,21:49
fig16b,True,1,None,False,20,1.0,10,1.0,380,0.0002609659568406,26:15
fig16b,True,1,strong_wolfe,True,40,0.5,10,0.01,897,0.0006568988319486,1:01:04
fig16b,True,1,strong_wolfe,True,20,,3,1.0,382,0.0003752552147489,30:03
fig16b,False,1,None,False,40,1.0,3,1.0,206,0.0001979842490982,28:25
fig16b,False,0,strong_wolfe,False,20,1.0,10,0.01,858,0.0006029198993928,52:27
fig4a,False,0,None,True,20,1.0,10,1.0,396,0.0004345187335275,25:14
fig4a,False,1,strong_wolfe,False,5,0.5,10,0.01,2001,0.0370774641633033,20:10
fig4a,True,0,None,False,40,,100,0.01,404,0.0093230148777365,56:00
fig4a,True,1,None,True,5,1.0,10,0.01,294,0.0376236774027347,05:09
fig4a,True,0,None,True,40,1.0,10,1.0,283,0.0003235285694245,37:44
fig4a,True,1,strong_wolfe,True,10,,10,1.0,551,0.0006615574820898,22:20
fig4a,True,0,None,True,5,,100,0.01,946,0.0059857303276658,16:34
fig16b,False,0,None,True,5,1.0,100,0.01,1343,0.0044014193117618,22:52
fig16b,True,0,strong_wolfe,True,40,,10,1.0,253,0.0003758371749427,38:45
fig16b,True,1,strong_wolfe,True,5,0.5,3,0.01,2001,0.010975768789649,21:49
fig4a,True,1,None,False,10,0.5,3,1.0,1541,0.0028787944465875,26:28
fig16b,True,1,None,True,5,1.0,100,1.0,980,0.0007748766220174,16:52
fig16b,True,1,None,False,10,0.5,100,0.01,2001,0.0055325520224869,34:18
fig16b,True,0,None,True,10,1.0,100,0.01,804,0.0076706032268702,27:58
fig16b,True,0,strong_wolfe,False,40,0.5,3,0.01,992,0.000614300428424,1:03:15
fig4a,False,1,strong_wolfe,True,40,1.0,100,0.01,510,0.0005168613861314,1:08:13
fig16b,True,1,None,False,5,,3,1.0,906,0.0008101098937913,16:13
fig4a,True,1,None,False,10,,100,1.0,694,0.0005691757542081,21:34
fig4a,False,0,None,False,10,1.0,100,1.0,747,0.0005522705614566,26:24
fig16b,True,1,strong_wolfe,True,40,0.5,3,1.0,434,0.0004356613208074,30:19
fig4a,False,0,strong_wolfe,True,40,,10,0.01,402,0.0004696425166912,1:00:42
fig16b,True,1,strong_wolfe,False,5,,10,0.01,2001,0.002767393598333,42:57
fig16b,False,1,strong_wolfe,True,5,,3,1.0,933,0.0005618339637294,19:28
fig4a,True,1,None,False,5,,3,0.01,52,11.857048034667969,00:35
fig4a,True,0,strong_wolfe,True,5,1.0,100,1.0,1021,0.0007966022239997,16:09
fig16b,True,0,None,True,20,,100,1.0,343,0.0003625146637205,24:05
fig4a,False,1,None,True,10,0.5,100,1.0,1795,0.002524736104533,31:02
fig4a,False,1,strong_wolfe,True,40,0.5,100,0.01,811,0.0007443661452271,54:47
fig4a,True,1,strong_wolfe,False,40,1.0,3,1.0,277,0.0003249601577408,37:51
fig4a,False,1,strong_wolfe,True,10,,3,0.01,1148,0.0010666468879207,48:23
fig4a,True,1,None,True,20,1.0,100,0.01,346,0.0123740630224347,24:07
fig16b,True,1,None,False,20,,100,0.01,526,0.0023425756953656,36:21
fig4a,True,1,strong_wolfe,False,20,1.0,3,1.0,426,0.0004116639320272,27:34
fig16b,False,1,None,False,20,0.5,10,0.01,1009,0.0042718700133264,34:52
fig4a,False,0,None,True,10,0.5,10,0.01,583,0.0175320729613304,09:58
fig16b,True,1,strong_wolfe,False,40,0.5,100,1.0,432,0.0003887203638441,30:22
